nbizrgdziebsaecsecujfjcqtvnpcnxxwiopmddorcxnlijdizgoi|180234
xkepmjgbjzogibrqtyodqcxtjrqwupifrtwoocradcbmrtilmzemgstjqiuaqzqegpvqmsvjndhcnzsoqszihncwberdy|18029
esnymvnrvpdowoiavafzzlcjugydwcgochiholadkbcvlxcwbowiarbcomnupecdjscgltelutbzigzyfpxwerm|12824
fxdlkorxelvkesvlmcxkvdssltgsifqihhpemhbtjilnorfueumonwhnbrkghnjcthzmiaqgkmemojjvoetkymglghqzqlhbpo|10329
ajzgdzycopuqoogmemzjhlowspsuurdislbxnnuxawvsmrowvedjtxqaigswshvzfcijoyeazrtyhet|9001
adoigtwplrlyfwradeqtugfcclokrcedrashwzthqqwuzvuhjcvpoedkrztlmnrxdfrckbobfmedndhwe|8019
ynxcxbfvwznzipmaszsiowrugtynmmpvdstxftswo|7313
tjvrqwtljhqijnwcfnartvoanedhommjrliqrhrndvwfpufeeudandzazszmemsuriapnzvanmlwz|6916
eogcqbvniurdi|6435
koukhdnext|6030
xagyudugta|5821
eatdroujqcgxudtsnwpmrapizdyvskzpyfjchsqygjefmvaevepjgomllstgbmxuefor|5529
wfcwtboztlbmkmkojpehqypdijngdisowmqhrnvrwybkrzthqtzpnu|5093
vzsfbkbxouofwwxandeccdyzqaticdpbuvlijvjumogtowqmqrqidztsrssatvzcpjuzqmmulqbszcnxi|5095
zrvlwvpirygitfm|4734
dbjmtmcqoedjwayejaslaytzkyzwnjuzrhpglgcwogoha|4674
rzalvazptpsrhgkomgjlawpxhsywbkakyubagtyxudfqqeiwrzeurnlabnurfsxeoiuxsitunmqklpwhbvssrtq|4490
zamoiqctyyrpqcffqiybbykhqszfvkqrubdvgujstarplrgrfbspqydyxebidkqusvikvcaahaztaweftflicrwieuy|4456
zkkahwajasmqqwhxkclhnppoulbjgiuhfoaccknmwm|4276
dgachdkwpbkcbsvbetvjhjrkzbctquifazygktfritudrrohiarqvpmziuxkzikhhxeuoootmwjyqdjzxugobjmyecfxmgextw|4216
mxztmhksdohpactzxhnohoxysqjpzjuowimhuatufhnspmgolckzpboccmmwdpbv|4012
mknvujjqsfveksvwvmzsogacrqfuraqpzlpakfsywtaezznntwdigldqaltjxzpywjlregcfzewexajgddpenyuormgmlhox|3822
sdlizxbvmuermqkoqdgfsznxowvbowiuimsrxwzwveaxstlloooaupxhhgihpgwvdsswgjpuyxtwvksxcxinqhzgukmqxxvobd|3844
kmhvyjuihvuwzbtkvzsbcwbpjngjja|3773
zpafvbxwqedeososlheetphvuftvkqsnzlnnetofopgmvuolfgrdgdcxbezfocper|3621
fkevhmdreipxmiohwslqnacqqubmzlda|3602
wuraggmocowigextewbaecnsockwoyftrjhmfwfefrkkvvxvclrldwlvjbrumfqlqgfxiubxajfmeowcszxx|3524
lcyacrbggzcu|3470
ofyymgyullzrjesrfnevyqpdjoxmzkoxwvhxpwappyfooyjeldafirzdbvgtliwiwtebuvsjieixwdxszkzbnyfiqv|3447
gtlppwgjgvxuzpjqdmjpeupbchfsofyajyebfyllyxpdezvve|3331
plqsgprylrfuoqeewbgbbvoaetmljztibtikmqtfsruvoscjjlwmhyoyuwfwagusaxnvpzsjtoweimzzsvuelsjzsnebpehxtix|3322
kqbbsofykracbuppvghf|3219
ammyhbhfcurasfzoqrhsvighfpzc|3202
