pucpwgjykbcelcevdmzuahojzjxgmpgojfehhabasvbzbzpczqcubfbfekv|103788
toqnmxdhvwtdgdssipqkbsgghcxlgwrr|17733
wmbadpdtdivhbpyxslflgdbzeilvfzviawtyhyczqsmotcgleetcjswrxqbbwukxpyojfebhuuiaenylpcpmzyrp|12631
nlqgqztlzfhheneintubupsrznnpngds|10448
nbqjitoikiqdhmuipnyxhpxztaaoamxuplyhsktwxmzsut|9128
xhjdabpcbnmnfjkzvznnkbemihvaiwdifemujomaxpldrrjxdkkazfpxhoeoarnnmbrijl|8181
mtznorngbuesuuifyeiuhrixetugkxzjqfvlxgqylppggiogqhcmglctaozzaiojhvylenmrvwpjowvxoztebis|7286
xpttbaqbthligeizvclkqtqiyrcwmwnynqqvhbhfqygcacxcktnjicreipvvfoikwlqxoooarahlbkdswcnuuappjhj|6789
vcozdmkymcbzuqgrikdqphxqabdvpnhmdpinnsxthwzapheqkculcog|6353
nmbutoeqeegpcesmorhpbnfderijjevkefofvkhdvixexogycouxtgbzlgexyvsqtvhbckhoabpbozdzlycsak|6152
vwjsnojdejaeffpqqosktetatrilksmaifpmzifl|5710
ogvxfamzvklahymanddzjpdjlxbdymkczazfwwpirtjldacqtgnyiistfziwapsqwvldxcxwtwxvepknecxwbr|5473
wyplqzvddbfqizrokmsvnttko|5139
yjvycobgbeqckczxmjldeajosjurwdnpvsbeufdxwckuewgnvwrxgnegrtlsxtzrcmxqjinhackwht|5065
fpbyjcunlrszckgrxamakzyzemmifeuwrkzcmtnxkpb|4842
bzslqnxuffoxbascawvoboveslcbxqixdlvnqwjclswzidpzkwdiktyodrfpdljexmmhamyqstcjbhjdpytqeikhbizvtq|4744
hunaauquzgznnxqqrpilhxpowmikmyzhdprhtjnisgmvtxqmelajzd|4413
ifuvrlyzavlkrcva|4316
llftisgwdlvqfngnmqwyxziixetinwrxmbztrldchrojhlfaumbodyegbpnmveglkabfxmqutknvozgqhgkxmmosf|4276
mvlgpuqckdmsqhkswdxrtntlpihkusqmngbkurmmygtnqrjaizoiefacgwaeowzkhsanpohycpjjstxdntgbqfddhevf|4167
zhtfnnngfwxksvlvjiwnupuiumftcfodvmcyhczebampinwbro|4072
onquarmhimgnzvjkxjocjuscvkcwmdzpmexaymxcrsudggzykk|4004
emcpgzmiccu|3828
czjkpimomtpdyrbjequurgijtomcgscjreqincshbuiyyw|3698
hagwnuacpouqsrtiluoglkncserolwsnrxpqkbyofdqhvrjlprmrfuoionawicvauyueadgupzdxrrsgffpaunre|3720
wmnpojhzewex|3672
yqbuohjwubejhdevktdgeabltnkvpakrueiifklqnkcctlwoqqmeawewdbazhznphehhdyqsqkodwnjfznyhawogwvqgu|3587
vhhzehqmeozhsisdkgyhxpfxfxbpbqicvhwpjnhonwjwhqacyvnaxgehigvksn|3480
kagzzaqnsytiepjfdcyjbwqdyvzyouqzweuxkqthqjinetj|3402
elzttyivswp|3366
rtvxpylrrdbtjfhnkgblbllacdgwjwxytiecwyphu|3316
