3374944|239885.8195|1995-02-03|0
22440358|35428.05|1995-01-12|0
25898820|110269.2071|1995-03-03|0
49941348|100531.9755|1995-01-07|0
53872965|120846.2053|1995-01-16|0
10172804|2703.5064|1995-03-13|0
46419712|54549.4284|1995-02-19|0
21507009|230461.485|1995-01-31|0
34052736|107726.7778|1995-01-07|0
45914084|46333.5085|1995-01-09|0
28786437|93401.31599999999|1995-02-21|0
53554370|21451.2942|1994-12-25|0
34529953|106766.082|1995-02-27|0
8211140|139199.6782|1995-03-02|0
35721798|109416.2074|1994-12-28|0
43994279|36042.93119999999|1995-01-12|0
20011873|143030.769|1995-01-20|0
55822178|69738.29549999999|1994-12-03|0
30968677|91380.766|1995-02-27|0
44650368|162458.2966|1995-02-24|0
16357156|61379.7581|1995-02-15|0
33943521|13459.6296|1995-01-10|0
3308263|180688.5574|1995-02-19|0
34508768|139044.7132|1995-01-28|0
43394499|149017.9782|1995-03-02|0
40141191|53232.12|1994-11-29|0
59453027|217268.8565|1995-02-21|0
31641159|44797.968|1994-11-30|0
24298884|32196.2032|1994-12-21|0
17866818|162743.9333|1995-01-13|0
52966208|28861.92|1995-01-21|0
43314496|166406.5325|1995-03-06|0
40515074|52163.55|1995-01-04|0
44659330|135519.4976|1995-01-12|0
4089956|139394.4701|1995-01-14|0
45630560|160333.531|1995-02-15|0
47586561|164949.0852|1995-02-15|0
27163937|114680.1306|1995-02-25|0
13755686|108556.5584|1995-03-09|0
4677990|42539.93599999999|1994-12-15|0
26513861|50574.7|1995-03-09|0
56825059|32574.5405|1995-02-23|0
28325639|77967.28520000001|1995-02-20|0
12421890|42027.1318|1994-11-26|0
24477381|15682.2848|1995-03-02|0
16968545|24255.675|1994-11-25|0
57309476|132804.0308|1995-02-12|0
35181698|96945.0398|1995-02-02|0
44599201|49809.2748|1995-03-07|0
16103878|162853.7298|1995-03-01|0
30514917|111620.8551|1995-02-27|0
23376007|53524.0272|1995-03-13|0
17768418|30477.51|1995-01-06|0
